country_code,Gold Medal,Silver Medal,Bronze Medal,Total
USA,40,44,42,126
CHN,39,27,24,90
JPN,20,12,13,45
AUS,18,19,16,53
FRA,16,26,22,64
NED,15,7,12,34
GBR,14,21,29,64
KOR,13,9,10,32
ITA,12,13,13,38
GER,11,13,8,32
NZL,10,7,3,20
CAN,9,7,11,27
UZB,8,2,3,13
HUN,6,7,6,19
ESP,5,4,9,18
SWE,4,4,3,11
KEN,4,2,5,11
NOR,4,1,3,8
IRL,4,0,3,7
BRA,3,7,10,20
IRI,3,6,3,12
UKR,3,5,4,12
ROU,3,4,2,9
GEO,3,3,1,7
SRB,3,1,1,5
BUL,3,0,3,6
CZE,3,0,2,5
DEN,2,2,5,9
AZE,2,2,3,7
CRO,2,2,3,7
CUB,2,1,6,9
BEL,2,1,5,8
BRN,2,1,1,4
SLO,2,1,0,3
TPE,2,0,5,7
AUT,2,0,3,5
HKG,2,0,2,4
PHI,2,0,2,4
ALG,2,0,1,3
INA,2,0,0,2
POL,1,4,5,10
ISR,1,4,1,6
KAZ,1,3,3,7
JAM,1,3,2,6
RSA,1,3,2,6
THA,1,3,2,6
AIN,1,3,1,5
ETH,1,3,0,4
SUI,1,2,5,8
ECU,1,2,2,5
POR,1,2,1,4
GRE,1,1,6,8
ARG,1,1,1,3
EGY,1,1,1,3
TUN,1,1,1,3
BOT,1,1,0,2
CHI,1,1,0,2
LCA,1,1,0,2
UGA,1,1,0,2
DOM,1,0,2,3
GUA,1,0,1,2
MAR,1,0,1,2
DMA,1,0,0,1
PAK,1,0,0,1
TUR,0,3,5,8
MEX,0,3,2,5
ARM,0,3,1,4
COL,0,3,1,4
KGZ,0,2,4,6
PRK,0,2,4,6
LTU,0,2,2,4
IND,0,1,5,6
MDA,0,1,3,4
KOS,0,1,1,2
CYP,0,1,0,1
FIJ,0,1,0,1
JOR,0,1,0,1
MGL,0,1,0,1
PAN,0,1,0,1
TJK,0,0,3,3
ALB,0,0,2,2
GRN,0,0,2,2
MAS,0,0,2,2
PUR,0,0,2,2
CIV,0,0,1,1
CPV,0,0,1,1
EOR,0,0,1,1
PER,0,0,1,1
QAT,0,0,1,1
SGP,0,0,1,1
SVK,0,0,1,1
ZAM,0,0,1,1
